file_html,test_me_inf,instance,R1,R2,over,complex
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",1,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",5,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",2,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",3,1,,,
https://github.com/sympy/sympy/tree/master/sympy/physics/hep/gamma_matrices.py,"('https://github.com/sympy/sympy/tree/master/sympy/physics/hep/tests/test_gamma_matrices.py', 'sympy.physics.hep.tests.test_gamma_matrices', '', 'test_kahane_simplify1')",4,1,,,
https://github.com/sympy/sympy/tree/master/sympy/integrals/intpoly.py,"('https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_intpoly.py', 'sympy.integrals.tests.test_intpoly', '', 'test_main_integrate3d')",0,1,,,
https://github.com/sympy/sympy/tree/master/sympy/integrals/intpoly.py,"('https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_intpoly.py', 'sympy.integrals.tests.test_intpoly', '', 'test_best_origin')",0,,,,1
https://github.com/sympy/sympy/tree/master/sympy/integrals/intpoly.py,"('https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_intpoly.py', 'sympy.integrals.tests.test_intpoly', '', 'test_best_origin')",1,,,,1
https://github.com/sympy/sympy/tree/master/sympy/integrals/intpoly.py,"('https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_intpoly.py', 'sympy.integrals.tests.test_intpoly', '', 'test_best_origin')",2,,,,1
https://github.com/sympy/sympy/tree/master/sympy/integrals/intpoly.py,"('https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_intpoly.py', 'sympy.integrals.tests.test_intpoly', '', 'test_best_origin')",3,,,,1
https://github.com/sympy/sympy/tree/master/sympy/integrals/intpoly.py,"('https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_intpoly.py', 'sympy.integrals.tests.test_intpoly', '', 'test_best_origin')",4,,,,1
https://github.com/sympy/sympy/tree/master/sympy/integrals/intpoly.py,"('https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_intpoly.py', 'sympy.integrals.tests.test_intpoly', '', 'test_best_origin')",5,,,,1
https://github.com/sympy/sympy/tree/master/sympy/integrals/intpoly.py,"('https://github.com/sympy/sympy/tree/master/sympy/integrals/tests/test_intpoly.py', 'sympy.integrals.tests.test_intpoly', '', 'test_best_origin')",6,,,,1
https://github.com/sympy/sympy/tree/master/sympy/categories/baseclasses.py,"('https://github.com/sympy/sympy/tree/master/sympy/categories/tests/test_baseclasses.py', 'sympy.categories.tests.test_baseclasses', '', 'test_diagram')",0,,,,1
https://github.com/sympy/sympy/tree/master/sympy/categories/baseclasses.py,"('https://github.com/sympy/sympy/tree/master/sympy/categories/tests/test_baseclasses.py', 'sympy.categories.tests.test_baseclasses', '', 'test_diagram')",0,,,,1
https://github.com/Stiivi/bubbles/tree/master/bubbles/execution/graph.py,"('https://github.com/Stiivi/bubbles/tree/master/tests/test_graph.py', 'tests.test_graph', 'GraphTestCase', 'test_ports')",3,,,,1
https://github.com/Stiivi/bubbles/tree/master/bubbles/execution/graph.py,"('https://github.com/Stiivi/bubbles/tree/master/tests/test_graph.py', 'tests.test_graph', 'GraphTestCase', 'test_basic')",1,,,,1
https://github.com/Stiivi/bubbles/tree/master/bubbles/execution/graph.py,"('https://github.com/Stiivi/bubbles/tree/master/tests/test_graph.py', 'tests.test_graph', 'GraphTestCase', 'test_ports')",1,,,,1
